Request ID,COA ID,Product Name,Pre-existing COA ID,License Type,Product Key,PDF language,Recipient Organization Name,Recipient City,Recipient Country / Region,Recipient Type
1609586,00212-352-455-845,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,W374J-YQHKW-2Y8GW-RG74R-BVDHG,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-846,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,7MQGV-CWMDP-2YJC7-BY3WB-R9WDG,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-847,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,6TVGX-BHM87-PJJ27-47WP9-X3R2J,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-848,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,V3QCJ-7PGRM-JDYBH-VVGMG-QYGB3,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-849,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,C3MRT-QMR6X-HHGPH-4TDPC-Q4XV2,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-850,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,MG4WP-8QRM9-WVYBR-X3CG6-F9FYY,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-851,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,PY9V9-HX8YC-PQTTD-BDQ2Q-Q3TRC,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-852,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,7K76R-B34MP-2RMWJ-P8PWT-PYPWX,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-853,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,GRKJ4-VQBFJ-6GK4G-TQRBC-BBX22,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-854,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,39MKR-DT7XV-F2PYD-6KH82-7D8C8,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-855,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,J3R94-QGMX8-CYXJJ-9P4PB-99PCY,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-856,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,MD6TF-KCJB8-K9QY7-B22TD-Y8GJT,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-857,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,XJQFF-RTTYF-V83G2-PVH2D-MRXH7,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-858,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BB8MQ-YXFKM-YV9XD-MC3KX-G6Y4Q,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-859,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,TRR8Y-4CFT6-YH4HX-2HG6R-HJB9T,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-860,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BDVHQ-M7P6K-FY892-DWM62-V82HW,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-861,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,9DC9X-PHT87-F8BQV-PFFFJ-PPJJ9,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-862,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BR6VG-2HVB9-9PG4F-BR627-F3XGM,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-863,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,GVK73-WHKMJ-87B37-YBH82-WV2RG,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-864,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,VWGKY-43PGK-V4PCM-JHVWJ-7P3RJ,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-865,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,XDDPP-RV449-V2WGM-Y3KB9-Y3WPD,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-866,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BVJVP-R6WXY-DHC64-7TDF3-MH6Q2,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-867,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,TCTMC-83HCK-QRH9T-TWYXF-P6GC7,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-868,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BB234-3D9V4-QWW3F-QV3D2-9RX97,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-869,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,P7HM2-9W469-Q4KY8-QF36B-VB9YX,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-870,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,YM6W2-WV84M-CM6VM-Y4MJ4-8XCKV,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-871,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,C2HVX-WYW9M-689D4-FT9G9-DXKHT,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-872,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BKFC3-GTBVT-VWV3C-3VGQ7-Y3C2P,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-873,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,PRRXK-PX824-PDTMR-2KVPT-6W7CT,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-874,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,HXYJT-PPY7P-CVFWJ-W7FQK-H66WV,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-875,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,P4H6M-4MKD2-9M2XW-MVT2P-P28BY,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-876,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,Q34DQ-YB4G2-GM2XQ-8RP9W-K8X7V,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-877,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,2TVHY-3QHVK-4QQTG-2TJ3D-MJCHX,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-878,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,MHHJ8-T7TB6-D2KFV-HV73R-YQ44C,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-879,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,273BM-TBT8M-B94JP-W8369-RJTJF,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-880,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,BF769-PQTCG-YRK7T-V3TJX-WC8J7,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-881,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,GHY92-93XP3-2VWPY-CWF24-3M3RQ,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-882,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,MJWKJ-GG26D-HRMJF-47RDD-YVK9T,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-883,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,CWW8R-6QMQT-YC6Q8-FW92B-HV9XV,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-884,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,V3RW8-KPM9M-BKCP6-7K9FV-GCJ2X,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-885,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,6B444-G3HRT-93TBJ-89GG7-FGQ8Y,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-886,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,RJ239-4QC48-GDCG8-TH3KY-4WDGV,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-887,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,WXB8T-XGDB9-PFC9W-KT9CB-PYHPV,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-888,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,QX7JK-X9QJ9-BFY4X-Y32CX-GCHMM,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-889,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,J6T7H-W264T-HVG6T-8XPX3-9HPP6,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-890,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,MJD7V-QPHQM-G23CK-8238M-BFQWG,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-891,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,9CFPH-WW3JG-YGJFK-PX8RF-229KC,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-892,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,RG3G8-XCQ4Q-9GVQR-2RK2M-HKV2H,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-893,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,6BCM9-RF9TQ-BCCY9-QM37P-H28PQ,English,Interconnection,Seattle,United States,Charitable Organization
1609586,00212-352-455-894,Windows 7 Professional 64-bit,00999-999-000-999,Citizenship,HWYPJ-WDX3W-PP482-Y684X-YQF4T,English,Interconnection,Seattle,United States,Charitable Organization
